SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.1300, 13, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.71276784, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04710000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1199, 12, -0.64870381, -0.43237677, -0.64184642, -9.34633732, -14.60935307, -33.85625458, 0.00000000, 0.00000000, 0.00000000, 34.81865692, -37.69490433, -136.65620422, 0.42319998, 0.18189999, 0.37689999, 0.80339998, 0.03700000, -0.01700000, -0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1299, 13, -0.60750020, -0.42626324, -0.66221297, -8.97827244, -18.81146049, -38.07600784, 0.00000000, 0.00000000, 0.00000000, 35.05356598, -37.63187790, -137.18905640, 0.41979998, 0.18230000, 0.37759998, 0.80479997, -0.00200000, -0.02600000, 0.01300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, -0.18090805, -0.02478051, -1.04072678, -7.67990303, 18.46294785, 3.78650522, 0.00000000, 0.00000000, 0.00000000, -3.75287485, -5.03630066, 76.73625946, -0.78369999, 0.00150000, -0.05470000, 0.61860001, 0.09100001, 0.09000000, 0.04700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1400, 14, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.70703816, 74.16368103, 3.97632837, 0.79609996, 0.04670000, -0.60130000, -0.04720000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1500, 15, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.69557881, 74.16368103, 3.98778772, 0.79609996, 0.04670000, -0.60130000, -0.04720000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1399, 14, -0.54768234, -0.43336630, -0.66335970, -10.30538177, -25.68530464, -42.34302902, 0.00000000, 0.00000000, 0.00000000, 35.32859039, -37.59750366, -137.80786133, 0.41579998, 0.18310000, 0.37849998, 0.80629998, -0.06200000, -0.02200000, 0.01700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, -0.20359826, -0.04067210, -1.05906701, -10.38390541, 22.75931740, 7.95383835, 0.00000000, 0.00000000, 0.00000000, -3.86173701, -4.80138779, 76.79928589, -0.78340000, -0.00030000, -0.05370000, 0.61909997, 0.11800001, 0.10700001, 0.06500001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1600, 16, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.69557881, 74.16368103, 3.99351692, 0.79609996, 0.04670000, -0.60130000, -0.04720000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1499, 15, -0.48294780, -0.43554452, -0.66036063, -10.60540009, -28.66272736, -48.51611328, 0.00000000, 0.00000000, 0.00000000, 35.65517426, -37.55166626, -138.51832581, 0.41130000, 0.18390000, 0.37959999, 0.80799997, -0.12600000, -0.02400000, 0.01500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1599, 16, -0.49075732, -0.45833108, -0.67076856, -11.74655342, -29.32592773, -53.47798920, 0.00000000, 0.00000000, 0.00000000, 36.00467682, -37.47145081, -139.28034973, 0.40629998, 0.18460000, 0.38059998, 0.80979997, -0.11700001, -0.00500000, 0.02800000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1700, 17, 0.96142322, 0.01734748, -0.27182791, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.68984914, 74.16368103, 3.99351692, 0.79609996, 0.04660000, -0.60130000, -0.04720000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, -0.22479525, -0.03141513, -1.11104488, -14.34190178, 30.87744904, 12.63017654, 0.00000000, 0.00000000, 0.00000000, -4.01643515, -4.48626089, 76.90814972, -0.78279996, -0.00310000, -0.05240000, 0.61989999, 0.14400001, 0.10000000, 0.11700001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1699, 17, -0.56051385, -0.49303353, -0.67223966, -14.30601501, -29.59593391, -54.32377243, 0.00000000, 0.00000000, 0.00000000, 36.33126450, -37.39123917, -140.05384827, 0.40129998, 0.18529999, 0.38149998, 0.81169999, -0.04600000, 0.02400000, 0.03100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, -0.24144146, -0.02098372, -1.19782865, -19.05485535, 34.85859299, 19.12302589, 0.00000000, 0.00000000, 0.00000000, -4.22270012, -4.12529755, 77.07430267, -0.78189999, -0.00630000, -0.05100000, 0.62110001, 0.16700001, 0.09300000, 0.20300001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1800, 18, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.68411994, 74.16368103, 3.99924660, 0.79609996, 0.04660000, -0.60130000, -0.04720000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1799, 18, -0.65346873, -0.51690876, -0.65689284, -18.79171181, -27.86318588, -52.13984299, 0.00000000, 0.00000000, 0.00000000, 36.58909607, -37.30529404, -140.78724670, 0.39640000, 0.18619999, 0.38200000, 0.81369996, 0.04700000, 0.04400000, 0.01800000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1900, 19, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.68411994, 74.16368103, 3.99924660, 0.79609996, 0.04660000, -0.60139996, -0.04720000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, -0.25202730, 0.00046209, -1.28942633, -25.33767700, 27.27379036, 26.65201187, 0.00000000, 0.00000000, 0.00000000, -4.49199057, -3.83308887, 77.31494904, -0.78059995, -0.00970000, -0.05050000, 0.62279999, 0.18400002, 0.07600001, 0.29500002, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1899, 19, -0.73439837, -0.53180045, -0.64527482, -23.35146523, -22.84384727, -49.12717819, 0.00000000, 0.00000000, 0.00000000, 36.75525665, -37.19643021, -141.45759583, 0.39170000, 0.18699999, 0.38189998, 0.81579995, 0.12900001, 0.05600000, 0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, -0.35745651, 0.04864759, -1.33210135, -30.99424744, 25.36773300, 32.53929138, 0.00000000, 0.00000000, 0.00000000, -4.81857681, -3.55233955, 77.62435150, -0.77889997, -0.01330000, -0.05050000, 0.62489998, 0.29400000, 0.03300000, 0.33700001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1999, 20, -0.78923869, -0.55061901, -0.64433187, -27.43337440, -14.97150707, -46.71640015, 0.00000000, 0.00000000, 0.00000000, 36.83546829, -37.03600311, -142.04202271, 0.38740000, 0.18750000, 0.38130000, 0.81799996, 0.18600000, 0.07200000, 0.00600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, -0.32946706, 0.06195348, -1.39541638, -36.32493210, 36.32915497, 38.35242844, 0.00000000, 0.00000000, 0.00000000, -5.20245838, -3.15699840, 77.97384644, -0.77689999, -0.01790000, -0.04990000, 0.62729996, 0.27200001, 0.02500000, 0.40100002, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2000, 20, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.67839026, 74.16368103, 4.00497627, 0.79609996, 0.04660000, -0.60130000, -0.04720000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2099, 21, -0.81981820, -0.58121842, -0.66421562, -32.02980042, -6.63323832, -44.99909210, 0.00000000, 0.00000000, 0.00000000, 36.81254959, -36.81827927, -142.54048157, 0.38349998, 0.18750000, 0.37989998, 0.82049996, 0.22000001, 0.10200001, 0.02400000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, -0.27286083, 0.07913049, -1.43444777, -42.41771317, 37.79022598, 44.75984955, 0.00000000, 0.00000000, 0.00000000, -5.64936590, -2.73873901, 78.38637543, -0.77449995, -0.02310000, -0.04960000, 0.63000000, 0.22300000, 0.01500000, 0.44100001, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, -0.26964781, 0.11118704, -1.45106816, -49.66539383, 33.10784912, 53.37450409, 0.00000000, 0.00000000, 0.00000000, -6.17075729, -2.34912753, 78.88484955, -0.77160001, -0.02850000, -0.05000000, 0.63330001, 0.22600001, -0.00700000, 0.45800003, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2100, 21, 0.96242476, 0.01735642, -0.27181911, -0.00000009, 0.00000004, -0.00000006, 0.00000000, 0.00000000, 0.00000000, -3.68411994, 74.16368103, 3.99924660, 0.79609996, 0.04660000, -0.60139996, -0.04720000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.2199, 22, -0.84293687, -0.58958495, -0.71284997, -38.88028336, -0.43162170, -44.82667923, 0.00000000, 0.00000000, 0.00000000, 36.69795990, -36.55472183, -142.99311829, 0.37959999, 0.18740000, 0.37790000, 0.82330000, 0.24600001, 0.11000001, 0.07000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
